Código Município Completo,Município,Nome_Município,latitude,longitude,altitude,Microrregião Geográfica,UF,Mesorregião Geográfica
1506195,6195,Rurópolis,-4.0990653899999998,-54.905862259869103,144.18212500000001,14,15,5
1506203,6203,Salinópolis,-0.62363800000000003,-47.353120263153599,27.148171999999999,9,15,4
1506302,6302,Salvaterra,-0.90084063936801995,-48.597670376932896,9.4189500000000006,6,15,2
1506351,6351,Santa Bárbara do Pará,-1.22943946699244,-48.2977406497887,12.723869000000001,7,15,3
1506401,6401,Santa Cruz do Arari,-0.65997412559925395,-49.171615566125197,4.6663499999999996,6,15,2
1506500,6500,Santa Izabel do Pará,-1.31177612363816,-48.045268010786302,56.503545000000003,8,15,3
1506559,6559,Santa Luzia do Pará,-1.3269453473634301,-47.036539778845196,28.516629999999999,13,15,4
1506583,6583,Santa Maria das Barreiras,-8.8705505396929407,-49.719351857225696,165,22,15,6
1506609,6609,Santa Maria do Pará,-1.3478664592967,-47.574695413809103,54.948228999999998,10,15,4
1506708,6708,Santana do Araguaia,-9.3294245250000003,-50.344804321128997,177.69001800000001,22,15,6
1506807,6807,Santarém,-2.5025122403142501,-54.952310793836205,1.2412589999999999,2,15,1
1506906,6906,Santarém Novo,-0.92871953578320809,-47.400924744868,16.290324999999999,10,15,4
1507003,7003,Santo Antônio do Tauá,-1.1073224039599099,-48.221869268206298,18.626868999999999,8,15,3
1507102,7102,São Caetano de Odivelas,-0.74661775999486102,-48.025805498083095,14.205716000000001,9,15,4
1507151,7151,São Domingos do Araguaia,-5.5498409999999998,-48.720373410784397,141.567835,20,15,6
1507201,7201,São Domingos do Capim,-1.8459157647768099,-47.636708396251805,44.660823000000001,13,15,4
1507300,7300,São Félix do Xingu,-6.6424832783407801,-51.993782523964299,192.41280599999999,18,15,6
1507409,7409,São Francisco do Pará,-1.1219510347539901,-47.697834169760199,23.048995000000001,10,15,4
1507458,7458,São Geraldo do Araguaia,-6.3989579699999997,-48.555712486192597,127.325684,21,15,6
1507466,7466,São João da Ponta,-0.85100214526960705,-47.920724165646206,16.302402000000001,9,15,4
1507474,7474,São João de Pirabas,-0.83959186730933999,-47.102188235215898,23.685585,9,15,4
1507508,7508,São João do Araguaia,-5.3927582531981404,-48.750262853011002,101.849127,20,15,6
1507607,7607,São Miguel do Guamá,-1.61713591449048,-47.482408944489201,12.146203,13,15,4
1507706,7706,São Sebastião da Boa Vista,-1.7188504999999998,-49.532312174616095,6.6859079999999995,5,15,2
1507755,7755,Sapucaia,-6.9428571125738401,-49.7035807118843,199.91554500000001,21,15,6
1507805,7805,Senador José Porfírio,-2.5948504183235199,-51.953056418017105,2,15,15,5
1507904,7904,Soure,-0.7259255,-48.516012662277305,15.888703,6,15,2
1507953,7953,Tailândia,-2.9370794999999998,-48.951281629575803,52.194732000000002,12,15,4
1507961,7961,Terra Alta,-1.0348266636162899,-47.907808348374402,35.418680999999999,9,15,4
1507979,7979,Terra Santa,-2.1081144737390303,-56.490904772243198,20.198661999999999,1,15,1
1508001,8001,Tomé-Açu,-2.41936685526733,-48.146896586571998,15.200659999999999,12,15,4
1508035,8035,Tracuateua,-1.1516378027145799,-46.964717082405002,29.762608,10,15,4
1508050,8050,Trairão,-4.6998191496972694,-55.996170034927303,126.40841399999999,14,15,5
1508084,8084,Tucumã,-6.74997200738229,-51.139539246635799,298.98434900000001,18,15,6
1508100,8100,Tucuruí,-3.7668890843116398,-49.667184367224799,32.472290999999998,16,15,6
1508126,8126,Ulianópolis,-3.7571930099999999,-47.503144754999198,123.904014,17,15,6
1508159,8159,Uruará,-3.7065285000000001,-53.7370310504594,162.21630200000001,15,15,5
1508209,8209,Vigia,-0.93539022236465397,-48.166333628250598,12.461427,9,15,4
1508308,8308,Viseu,-1.11173072341117,-46.311691656006502,16.823029999999999,13,15,4
1508357,8357,Vitória do Xingu,-2.8837657102288001,-52.011260353815395,16.543706,15,15,5
1508407,8407,Xinguara,-7.1015128271460393,-49.942700584375203,236.84346199999999,21,15,6
1600055,55,Serra do Navio,0.89784104097192396,-52.003538435291802,139.974718,3,16,2
