Código de Distrito Completo,Distrito,Nome_Distrito,latitude,longitude,altitude,Código Município Completo
160060015,15,Ilha de Santana,,,,1600600
160060020,20,Piaçacá,,,,1600600
160060023,23,Pirativa,,,,1600600
160005505,05,Serra do Navio,,,,1600055
160005510,10,Cachaço,,,,1600055
160070905,05,Tartarugalzinho,,,,1600709
160080805,05,Vitória do Jari,,,,1600808
170025105,05,Abreulândia,,,,1700251
170030105,05,Aguiarnópolis,,,,1700301
170035005,05,Aliança do Tocantins,,,,1700350
170040005,05,Almas,,,,1700400
170070705,05,Alvorada,,,,1700707
170100205,05,Ananás,,,,1701002
170105105,05,Angico,,,,1701051
170110105,05,Aparecida do Rio Negro,,,,1701101
170130905,05,Aragominas,,,,1701309
170190305,05,Araguacema,,,,1701903
170200005,05,Araguaçu,,,,1702000
170210905,05,Araguaína,,,,1702109
170215805,05,Araguanã,,,,1702158
170220805,05,Araguatins,,,,1702208
170220810,10,Natal,,,,1702208
170230705,05,Arapoema,,,,1702307
170240605,05,Arraias,,,,1702406
170240610,10,Cana Brava,,,,1702406
170255405,05,Augustinópolis,,,,1702554
170270305,05,Aurora do Tocantins,,,,1702703
170290105,05,Axixá do Tocantins,,,,1702901
170300805,05,Babaçulândia,,,,1703008
170305705,05,Bandeirantes do Tocantins,,,,1703057
170307305,05,Barra do Ouro,,,,1703073
170310705,05,Barrolândia,,,,1703107
170320605,05,Bernardo Sayão,,,,1703206
170330505,05,Bom Jesus do Tocantins,,,,1703305
170360205,05,Brasilândia do Tocantins,,,,1703602
170370105,05,Brejinho de Nazaré,,,,1703701
170380005,05,Buriti do Tocantins,,,,1703800
170382605,05,Cachoeirinha,,,,1703826
170384205,05,Campos Lindos,,,,1703842
170386705,05,Cariri do Tocantins,,,,1703867
170388305,05,Carmolândia,,,,1703883
170389105,05,Carrasco Bonito,,,,1703891
170390905,05,Caseara,,,,1703909
170410505,05,Centenário,,,,1704105
170510205,05,Chapada da Natividade,,,,1705102
170460005,05,Chapada de Areia,,,,1704600
170550805,05,Colinas do Tocantins,,,,1705508
171670305,05,Colméia,,,,1716703
170555705,05,Combinado,,,,1705557
170560705,05,Conceição do Tocantins,,,,1705607
170600105,05,Couto Magalhães,,,,1706001
170610005,05,Cristalândia,,,,1706100
170625805,05,Crixás do Tocantins,,,,1706258
170650605,05,Darcinópolis,,,,1706506
170700905,05,Dianópolis,,,,1707009
170710805,05,Divinópolis do Tocantins,,,,1707108
170720705,05,Dois Irmãos do Tocantins,,,,1707207
170730605,05,Dueré,,,,1707306
170740505,05,Esperantina,,,,1707405
170755305,05,Fátima,,,,1707553
170765205,05,Figueirópolis,,,,1707652
170770205,05,Filadélfia,,,,1707702
170770210,10,Bielândia,,,,1707702
170820505,05,Formoso do Araguaia,,,,1708205
170825405,05,Fortaleza do Tabocão,,,,1708254
170830405,05,Goianorte,,,,1708304
170900505,05,Goiatins,,,,1709005
170900510,10,Cartucho,,,,1709005
170900515,15,Craolândia,,,,1709005
170930205,05,Guaraí,,,,1709302
170930210,10,Mirandópolis,,,,1709302
170950005,05,Gurupi,,,,1709500
170980705,05,Ipueiras,,,,1709807
171050805,05,Itacajá,,,,1710508
171070605,05,Itaguatins,,,,1710706
171090405,05,Itapiratins,,,,1710904
171110005,05,Itaporã do Tocantins,,,,1711100
171150605,05,Jaú do Tocantins,,,,1711506
171180305,05,Juarina,,,,1711803
171190205,05,Lagoa da Confusão,,,,1711902
171195105,05,Lagoa do Tocantins,,,,1711951
171200905,05,Lajeado,,,,1712009
171215705,05,Lavandeira,,,,1712157
171240505,05,Lizarda,,,,1712405
171240510,10,Alto Bonito,,,,1712405
171245405,05,Luzinópolis,,,,1712454
171250405,05,Marianópolis do Tocantins,,,,1712504
171270205,05,Mateiros,,,,1712702
171280105,05,Maurilândia do Tocantins,,,,1712801
171320505,05,Miracema do Tocantins,,,,1713205
171330405,05,Miranorte,,,,1713304
171360105,05,Monte do Carmo,,,,1713601
171370005,05,Monte Santo do Tocantins,,,,1713700
171395705,05,Muricilândia,,,,1713957
171420305,05,Natividade,,,,1714203
171420320,20,Príncipe,,,,1714203
171430205,05,Nazaré,,,,1714302
171488005,05,Nova Olinda,,,,1714880
171500205,05,Nova Rosalândia,,,,1715002
171510105,05,Novo Acordo,,,,1715101
171515005,05,Novo Alegre,,,,1715150
171525905,05,Novo Jardim,,,,1715259
171550705,05,Oliveira de Fátima,,,,1715507
172100005,05,Palmas,,,,1721000
172100008,08,Buritirana,,,,1721000
172100015,15,Taquaruçu,,,,1721000
171570505,05,Palmeirante,,,,1715705
171380905,05,Palmeiras do Tocantins,,,,1713809
171575405,05,Palmeirópolis,,,,1715754
171610905,05,Paraíso do Tocantins,,,,1716109
171620805,05,Paranã,,,,1716208
171620810,10,Bom Jesus da Palma,,,,1716208
171620815,15,Campo Alegre,,,,1716208
171630705,05,Pau D'Arco,,,,1716307
171650505,05,Pedro Afonso,,,,1716505
171650510,10,Porto Real,,,,1716505
171660405,05,Peixe,,,,1716604
171665305,05,Pequizeiro,,,,1716653
171700805,05,Pindorama do Tocantins,,,,1717008
171720605,05,Piraquê,,,,1717206
171750305,05,Pium,,,,1717503
171780005,05,Ponte Alta do Bom Jesus,,,,1717800
171790905,05,Ponte Alta do Tocantins,,,,1717909
171800605,05,Porto Alegre do Tocantins,,,,1718006
171820405,05,Porto Nacional,,,,1718204
171820425,25,Luzimangues,,,,1718204
171830305,05,Praia Norte,,,,1718303
171840205,05,Presidente Kennedy,,,,1718402
171845105,05,Pugmil,,,,1718451
171850105,05,Recursolândia,,,,1718501
171855005,05,Riachinho,,,,1718550
171865905,05,Rio da Conceição,,,,1718659
171870905,05,Rio dos Bois,,,,1718709
171875805,05,Rio Sono,,,,1718758
171880805,05,Sampaio,,,,1718808
